0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,price
0,0.18,0.067815249,0,0.314814815,0.577505269,0.641606591,0.269203139,0,0.208015267,0.287234043,1,0.089679912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324,0.012206745,0,0.056666667,0.103950948,0.115489186,0.048456565,0,0.037442748,0.051702128,0.18,0.016142384,0.004598908,0,0.021349245,0.039163664,0.043510711,0.018256078,0,0.014106607,0.019478848,0.067815249,0.006081666,0,0,0,0,0,0,0,0,0,0,0.099108368,0.181807214,0.20198726,0.084749136,0,0.065486288,0.090425532,0.314814815,0.028232565,0.333512336,0.370531187,0.155466231,0,0.120129913,0.165879173,0.577505269,0.051790622,0.411659018,0.172722508,0,0.133463966,0.184291255,0.641606591,0.057539222,0.07247033,0,0.055998363,0.077324306,0.269203139,0.024142114,0,0,0,0,0,0.043270351,0.059749066,0.208015267,0.018654791,0.082503395,0.287234043,0.025759124,1,0.089679912,0.008042487,24
0.000235923,0,0.242302053,0,0.172839506,0.547997701,0.782698249,0.34896198,0.043478261,0.104961832,0.553191489,1,0.204470199,5.57E-08,0,5.72E-05,0,4.08E-05,0.000129285,0.000184656,8.23E-05,1.03E-05,2.48E-05,0.00013051,0.000235923,4.82E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.058710285,0,0.041879367,0.132780968,0.189649392,0.084554204,0.010534872,0.025432467,0.134039433,0.242302053,0.049543549,0,0,0,0,0,0,0,0,0,0,0.029873495,0.094715652,0.135281179,0.060314416,0.007514761,0.018141551,0.095613344,0.172839506,0.035340528,0.30030148,0.428916841,0.191230363,0.023825987,0.057518843,0.303147664,0.547997701,0.112049199,0.612616549,0.273131931,0.034030359,0.082153442,0.43298201,0.782698249,0.160038467,0.121774464,0.01517226,0.036627689,0.193042798,0.34896198,0.071352325,0.001890359,0.004563558,0.024051804,0.043478261,0.008890009,0.011016986,0.058063992,0.104961832,0.021461567,0.306020824,0.553191489,0.113111174,1,0.204470199,0.041808062,21.6
0.000235698,0,0.242302053,0,0.172839506,0.694385898,0.59938208,0.34896198,0.043478261,0.104961832,0.553191489,0.989737254,0.063465784,5.56E-08,0,5.71E-05,0,4.07E-05,0.000163665,0.000141273,8.22E-05,1.02E-05,2.47E-05,0.000130386,0.000233279,1.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.058710285,0,0.041879367,0.168251128,0.145231508,0.084554204,0.010534872,0.025432467,0.134039433,0.239815368,0.01537789,0,0,0,0,0,0,0,0,0,0,0.029873495,0.120017316,0.103596903,0.060314416,0.007514761,0.018141551,0.095613344,0.171065698,0.010969395,0.482171775,0.416202464,0.242314278,0.030190691,0.072884016,0.384128369,0.687259591,0.044069745,0.359258878,0.209161558,0.02606009,0.062912241,0.331573066,0.593230774,0.038040253,0.121774464,0.01517226,0.036627689,0.193042798,0.345380672,0.022147146,0.001890359,0.004563558,0.024051804,0.043032055,0.002759382,0.011016986,0.058063992,0.103884635,0.006661485,0.306020824,0.547514225,0.035108731,0.979579831,0.06281445,0.004027906,34.7
0.000292796,0,0.063049853,0,0.150205761,0.658555279,0.441812564,0.44854459,0.086956522,0.066793893,0.64893617,0.99427606,0.033388521,8.57E-08,0,1.85E-05,0,4.40E-05,0.000192822,0.000129361,0.000131332,2.55E-05,1.96E-05,0.000190006,0.00029112,9.78E-06,0,0,0,0,0,0,0,0,0,0,0,0,0.003975284,0,0.009470451,0.041521814,0.027856217,0.028280671,0.005482596,0.004211345,0.04091533,0.06268896,0.002105141,0,0,0,0,0,0,0,0,0,0,0.022561771,0.098918797,0.066362793,0.067373982,0.013061371,0.010032828,0.097473951,0.149345993,0.005015148,0.433695055,0.290957996,0.295391407,0.057265676,0.043987471,0.42736034,0.654785748,0.021988187,0.195198342,0.198172635,0.038418484,0.029510381,0.286708153,0.439283656,0.014751468,0.201192249,0.039003877,0.029960039,0.291076808,0.445977148,0.01497624,0.007561437,0.005808165,0.056429232,0.086458788,0.00290335,0.004461424,0.043344973,0.066411569,0.002230149,0.421118153,0.645221699,0.021667019,0.988584884,0.033197407,0.001114793,33.4
0.00070507,0,0.063049853,0,0.150205761,0.687104809,0.528321318,0.44854459,0.086956522,0.066793893,0.64893617,1,0.099337748,4.97E-07,0,4.45E-05,0,0.000105906,0.000484457,0.000372504,0.000316255,6.13E-05,4.71E-05,0.000457545,0.00070507,7.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.003975284,0,0.009470451,0.043321857,0.033310582,0.028280671,0.005482596,0.004211345,0.04091533,0.063049853,0.00626323,0,0,0,0,0,0,0,0,0,0,0.022561771,0.103207101,0.079356906,0.067373982,0.013061371,0.010032828,0.097473951,0.150205761,0.014921102,0.472113019,0.363012119,0.308197145,0.059748244,0.045894405,0.445887164,0.687104809,0.068255445,0.279123415,0.236975669,0.045940984,0.035288638,0.342846813,0.528321318,0.05248225,0.201192249,0.039003877,0.029960039,0.291076808,0.44854459,0.04455741,0.007561437,0.005808165,0.056429232,0.086956522,0.008638065,0.004461424,0.043344973,0.066793893,0.006635155,0.421118153,0.64893617,0.064463858,1,0.099337748,0.009867988,36.2
0.000264472,0,0.063049853,0,0.150205761,0.549722169,0.574665294,0.44854459,0.086956522,0.066793893,0.64893617,0.992990065,0.09602649,6.99E-08,0,1.67E-05,0,3.97E-05,0.000145386,0.000151983,0.000118627,2.30E-05,1.77E-05,0.000171625,0.000262618,2.54E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.003975284,0,0.009470451,0.034659902,0.036232562,0.028280671,0.005482596,0.004211345,0.04091533,0.062607878,0.006054456,0,0,0,0,0,0,0,0,0,0,0.022561771,0.082571437,0.086318038,0.067373982,0.013061371,0.010032828,0.097473951,0.149152829,0.014423732,0.302194463,0.315906252,0.246574905,0.047801928,0.036718084,0.356734599,0.545868652,0.05278789,0.3302402,0.257763008,0.049970895,0.038384132,0.372921095,0.570636927,0.055183091,0.201192249,0.039003877,0.029960039,0.291076808,0.445400321,0.043072163,0.007561437,0.005808165,0.056429232,0.086346962,0.00835013,0.004461424,0.043344973,0.066325672,0.006413983,0.421118153,0.64438717,0.062315063,0.986029269,0.095353351,0.009221087,28.7
0.000921323,0.125,0.271627566,0,0.28600823,0.469630197,0.656024717,0.402922642,0.173913043,0.236641221,0.276595745,0.996721973,0.295253863,8.49E-07,0.000115165,0.000250257,0,0.000263506,0.000432681,0.000604411,0.000371222,0.00016023,0.000218023,0.000254834,0.000918303,0.000272024,0.015625,0.033953446,0,0.035751029,0.058703775,0.08200309,0.05036533,0.02173913,0.029580153,0.034574468,0.124590247,0.036906733,0.073781535,0,0.077687719,0.127564507,0.178194397,0.109444896,0.047239577,0.064278279,0.075131029,0.270737163,0.080199088,0,0,0,0,0,0,0,0,0,0,0.081800708,0.134318102,0.187628468,0.115239192,0.049740562,0.067681337,0.079108659,0.285070688,0.084445035,0.220552522,0.308089017,0.18922464,0.081674817,0.111133863,0.129897714,0.468090737,0.13866013,0.430368429,0.264327212,0.114091255,0.15524249,0.181453645,0.65387425,0.193693832,0.162346655,0.070073503,0.095348106,0.111446688,0.40160185,0.118964467,0.030245747,0.041154995,0.048103608,0.173342952,0.051348498,0.055999068,0.065453955,0.235865505,0.069869235,0.076505206,0.275689056,0.081665962,0.993454691,0.294286013,0.087174844,22.9
0.001553672,0.125,0.271627566,0,0.28600823,0.500287411,0.959835221,0.438387182,0.173913043,0.236641221,0.276595745,1,0.480684327,2.41E-06,0.000194209,0.00042202,0,0.000444363,0.000777282,0.001491269,0.00068111,0.000270204,0.000367663,0.000429739,0.001553672,0.000746826,0.015625,0.033953446,0,0.035751029,0.062535926,0.119979403,0.054798398,0.02173913,0.029580153,0.034574468,0.125,0.060085541,0.073781535,0,0.077687719,0.135891852,0.260717705,0.119078043,0.047239577,0.064278279,0.075131029,0.271627566,0.130567114,0,0,0,0,0,0,0,0,0,0,0.081800708,0.143086317,0.274520773,0.125382342,0.049740562,0.067681337,0.079108659,0.28600823,0.137479674,0.250287494,0.480193478,0.219319588,0.087006506,0.118388624,0.138377369,0.500287411,0.240480318,0.921283652,0.420779458,0.166927865,0.227136579,0.265486338,0.959835221,0.461377747,0.192183321,0.076241249,0.103740478,0.121256029,0.438387182,0.210725847,0.030245747,0.041154995,0.048103608,0.173913043,0.083597274,0.055999068,0.065453955,0.236641221,0.113749726,0.076505206,0.276595745,0.132955239,1,0.480684327,0.231057422,27.1
0.002303251,0.125,0.271627566,0,0.28600823,0.396627706,1,0.450354191,0.173913043,0.236641221,0.276595745,0.974103586,0.778145695,5.30E-06,0.000287906,0.000625627,0,0.000658749,0.000913533,0.002303251,0.001037279,0.000400565,0.000545044,0.00063707,0.002243605,0.001792265,0.015625,0.033953446,0,0.035751029,0.049578463,0.125,0.056294274,0.02173913,0.029580153,0.034574468,0.121762948,0.097268212,0.073781535,0,0.077687719,0.107735019,0.271627566,0.122328613,0.047239577,0.064278279,0.075131029,0.264593386,0.211365821,0,0,0,0,0,0,0,0,0,0,0.081800708,0.113438788,0.28600823,0.128805005,0.049740562,0.067681337,0.079108659,0.278601643,0.222556073,0.157313538,0.396627706,0.17862295,0.068978732,0.093858465,0.109705536,0.386356471,0.308634142,1,0.450354191,0.173913043,0.236641221,0.276595745,0.974103586,0.778145695,0.202818897,0.078322468,0.106572366,0.124566053,0.438691632,0.350441175,0.030245747,0.041154995,0.048103608,0.169409319,0.135329686,0.055999068,0.065453955,0.230513062,0.184141348,0.076505206,0.269432907,0.215231788,0.948877796,0.757994512,0.605510723,16.5
0.001840173,0.125,0.271627566,0,0.28600823,0.468097337,0.854788877,0.496730897,0.173913043,0.236641221,0.276595745,0.97430531,0.424116998,3.39E-06,0.000230022,0.000499842,0,0.000526305,0.00086138,0.00157296,0.000914071,0.00032003,0.000435461,0.000508984,0.001792891,0.000780449,0.015625,0.033953446,0,0.035751029,0.058512167,0.10684861,0.062091362,0.02173913,0.029580153,0.034574468,0.121788164,0.053014625,0.073781535,0,0.077687719,0.12714814,0.232184222,0.134925804,0.047239577,0.064278279,0.075131029,0.26464818,0.115201868,0,0,0,0,0,0,0,0,0,0,0.081800708,0.133879691,0.244476654,0.142069125,0.049740562,0.067681337,0.079108659,0.278659338,0.121300952,0.219115117,0.400124397,0.23251841,0.081408232,0.110771125,0.129473731,0.456069721,0.198528037,0.730664025,0.424600046,0.148658935,0.202278284,0.236430966,0.832825343,0.362530492,0.246741584,0.086387982,0.117547006,0.137393652,0.483967551,0.210672017,0.030245747,0.041154995,0.048103608,0.169444402,0.073759478,0.055999068,0.065453955,0.230560799,0.100363564,0.076505206,0.269488703,0.117308957,0.949270838,0.413219443,0.179875228,18.9
